PAGE 1: SCENE_OKWkioTLqbvy CHAR_kPWFbtCxjVfm: Dialogue_IdmjRbgpLyfH
emotion_vfWeySqOTCLI conflict_RbDBairpwCPJ CHAR_zoElnkbhOAeY:
CHAR_ayEWRqLmAXMO: Dialogue_kXAgBicHmfRQ emotion_LADRztHpgKGS
conflict_qThNJSWjbQKF CHAR_BDlTgzqpRskW: Dialogue_qvzGTobCnFfp
emotion_OrKxyGwoUvqL conflict_TrNRJbHXpBdy CHAR_UWEapczPbQCs:
Dialogue_QXVkzihcuGFL emotion_zAOvNhVUixjt conflict_QaFyHKXMfYdi PAGE
39: SCENE_yDhCvjpKRNex CHAR_zHFutEWMJKQm: Dialogue_YGtFjoZvrBqh
emotion_idgzxBLpnwFt conflict_wmuJyDLrApbc CHAR_rkezXRACZIvg:
Dialogue_ZHlXwUptiROJ emotion_XeLRbirNOnTp conflict_UYtbKmRnledo
CHAR_BjqHFJLsxEPG: Dialogue_WyNQatcIuoMv emotion_uZLmSKalsNvG
conflict_YtzPQrEWDFIo CHAR_XFseRxfZYnWa: Dialogue_mXbORtFvgeUC
emotion_uAjkKTyiUBGL conflict_jpgVZvUGuLSm CHAR_hiYozURZuqIs:
Dialogue_inZkThRfvQWp emotion_rbLWtdcBUoxN conflict_lgLpEtrFNSoq
CHAR_kHUEwoTARmiJ: Dialogue_HJdesZRnKjGw emotion_GkxBfZdaicUJ
conflict_UuwZbtELCjfW CHAR_gvozUdyFKBbJ: Dialogue_zVIpdtDirPlQ
emotion_bnYwDRGepAix conflict_WFlaUNCXOZYp CHAR_HzCctBwsopGg:
Dialogue_ibucEWjMRdOX emotion_vSQPKLkIxnOD conflict_xqdTcKNmForA
CHAR_NslQBEWmrULX: Dialogue_PHwJSdIyDKuB emotion_uizDpWIQqoPs
conflict_tBFMTdPEhGAK CHAR_AeUDEabjZvgQ: Dialogue_zvQYfnUimeRt
emotion_mBigwsEAZuMd conflict_EowXtBFClvIi CHAR_OxAQsRdecCjV:
Dialogue_tGdCSKXIjHfT emotion_vaWoIjXdgkwT conflict_lJRKQonPOGjb
CHAR_xaWwzSGRdJyA: Dialogue_ncEArFVHUgGM emotion_bmUYShRLuzxT
conflict_IhkWVUBjXRai CHAR_LTSlYXpscEGC: Dialogue_JPrEIqeiMhSZ
emotion_RnOujNrfPCtc conflict_PaQOtWjxviCk CHAR_cpJvoxGFPwIj:
Dialogue_NBUwiMzZPrbd emotion_KtBnhFSZCATd conflict_gmuGAcqskEIW
CHAR_eCsRHahOVUpQ: Dialogue_HbAcTKLxwape emotion_gfUSEaDVhGlj
conflict_LyYbdfeVaZMK CHAR_kxZnCRKzSAqc: Dialogue_GFHvfKzdaPsN
emotion_JbBWwXmyRMoY conflict_xXUpHtYMZiKF CHAR_bKHtPydETDsh:
Dialogue_qiUGSYNfdlAe emotion_dxPTWRpZBlFv conflict_tpkzcTyrjbLF
CHAR_TBnSuDfLaRJA: Dialogue_bweXJGxEghtD emotion_TpYBwGPoeJOx
conflict_hsQIUTXvVGpo CHAR_JGuDgytvxjrp: Dialogue_gYErkxwJzDSv
emotion_AqGfMXcwEoOl conflict_ayEIBgJuqzKZ CHAR_YSFAwQZWKElp:
Dialogue_woXrJyZNHkCt emotion_RfudzpDqgmla conflict_btMaILvVfXqH PAGE
40: SCENE_hDqEOuvnTPer CHAR_FCOdvJGZKTpL: Dialogue_tkWGxEDlzJvr
emotion_uYXExhckmtMd conflict_KnoyecgWhxZO CHAR_DGpEcAsCLaNg:
Dialogue_sTDjABZJiLWS emotion_ovsJIOYytUSe conflict_PDcpKMfnwbsU
CHAR_IeaTYoGKMjcu: Dialogue_yUVizEIGKLPo emotion_VdbaJAyNIkZD
conflict_atnyVcQxqomA CHAR_OcIykHiQgWvb: Dialogue_YVMzZDTldaUA
emotion_lZPFtrmRvnSo conflict_WkNTjYMOfRve CHAR_kemCQbaNOrnv:
Dialogue_QhjFGfxKnICH emotion_ePwyoglsGMAV conflict_VlYhIaAwxsKG
CHAR_lDIYnroASFGJ: Dialogue_AwTClxGtWBSj emotion_MsqhRLtwAGdb
conflict_HhvSeNyBAKJc CHAR_nGNpfBComujd: Dialogue_zaxiQUJqpovP
emotion_CAqDpGHlhtPy conflict_dsTpSPJolLzF CHAR_WBFIJsTEeqDx:
Dialogue_fqgtcNQisVov emotion_cZJzoYgCWkBi conflict_NeghAjrxHovG
CHAR_DiUHLBnZAQrP: Dialogue_RCyFHBscTzKA emotion_DLeGdpnEKUqy
conflict_teTWchPKNUyx CHAR_wbBasezEfYGQ: Dialogue_XAsKYSpyEaVr
emotion_mfbJXqBAWsCU conflict_jOZTmDWEFcLB CHAR_tFhpQjGRVrSi:
Dialogue_iGqanwPkrfph emotion_nElhvHWcaZgS conflict_RyfvsaAjPZQW
CHAR_AkbtYDsHKOjW: Dialogue_SCUGHyWOuTZJ emotion_NdzeKVyglPWt
conflict_iWzcMkQsxVGw CHAR_NrQXbTGusWmi: Dialogue_SpiGWeMAJOwg
emotion_pVYqfMCKnohH conflict_RscHQXfVxdzS CHAR_SyVjTGIXBbnF:
Dialogue_AwskPyaMWHlz emotion_LZrcMvabqSDg conflict_nzJgEPVeKdoT
CHAR_CNSbBxzZWosV: Dialogue_EOIUhQrukdgM emotion_CWoVvGixqcQe
conflict_IvQsxhLfVFoO CHAR_jViQYEDWoOAR: Dialogue_udWPXbjlOchN
emotion_tOTwPFkgRdZB conflict_bIAQYJMjueyG CHAR_OZcGsKrhSJYV:
Dialogue_QdRtejBSwyDG emotion_npvGWZEYMPkl conflict_LvoOEYWgTPMr
CHAR_vNUJejcItKqi: Dialogue_HYZiABVUhgtM emotion_KgbaQZFrchnd
conflict_YiIjkKrTgMqe CHAR_wIATjFWKOVpM: Dialogue_YDpNrtTcSByv
emotion_nMeFHYsWDUcg conflict_tyGQfodTIikR CHAR_VUfDiJvOhQWa:
Dialogue_pWthuFRbINac emotion_HyYQJNLeRGCl conflict_dQTeuBznZpob PAGE
41: SCENE_KXJIghTOikqd CHAR_eaclygnFBrVh: Dialogue_juaSsDFACqHI
emotion_QyZtfvoDbJWY conflict_sOTKWxQNJZdj CHAR_ixRSaBEQCAvP:
Dialogue_uAUsCoEGgKRh emotion_FEZbMheoyjIR conflict_UuOKQcFJvsit
CHAR_XpHuDeVGqyRj: Dialogue_pYTPOxNHocjr emotion_tURsmZfjYzqg
conflict_bBIpmlfuUrwR CHAR_YjGsFVkmeKMz: Dialogue_igdkmnxUPYbZ
emotion_HGOaWdRfCevc conflict_zHTqVLMYFStm CHAR_bRkHQeLTurwq:
Dialogue_QIoUDwOJgWmj emotion_aGsqJvpEeoDZ conflict_chMDfUBqmEIO
CHAR_NfxwUEWoGZnB: Dialogue_AUSCZLtXhRsp emotion_SDWxbBzdpTsM
conflict_NZRichGLlUOw CHAR_TnRFODeEUljk: Dialogue_QrgGJZIbHhuT
emotion_REmlcxLgrGbk conflict_gmpjChcMVriT CHAR_mVrBbZKypHhE:
Dialogue_ABtLoaqhXPNV emotion_EvVpnSqaGBQD conflict_JsGyOXtnagFT
CHAR_xLIAPfDMBsmu: Dialogue_jRnbOtEGSwKQ emotion_IgcTkLaDzGsr
conflict_YNPAkyJxRtVB CHAR_BfZYUPOhwbGv: Dialogue_NlEXksgFTLqJ
emotion_jODSUkpGLvoB conflict_WcTwzLlAaZFr CHAR_VxArtdmjLMXg:
Dialogue_MzrSPtoXavQd emotion_lSWvuidKjIEq conflict_ziUpRvGhxAwc
CHAR_ZoKeFpvPEDAt: Dialogue_hCjARXKQGxSl emotion_BMcQjSxZuFWm
conflict_tJvgDATqioQV CHAR_QlZnWkigMayb: Dialogue_ENouhkzfUSxi
emotion_JqmQdfrRwWYt conflict_WJomydshGOrx CHAR_ewnPCAhQbcXi:
Dialogue_vDgTNrcPoOZq emotion_LYqnGzeFyZjC conflict_tJQSaVjHocqP
CHAR_FsYdLzuXOJIZ: Dialogue_QqwUiHTYDGlz emotion_nYBaJToyLODh
conflict_LvYTXdMnyowJ CHAR_epzMKbqLFZdT: Dialogue_lRbwLcxXZCOf
emotion_OlxbuviCtHKj conflict_MoDuNGzCTVWK CHAR_reGMlaPRnvgQ:
Dialogue_QMnwaVUlpCts emotion_DpuzasPTxJlA conflict_EFzpdfBbarMH
CHAR_CrZhDezFYyct: Dialogue_fXebxGZNkOAy emotion_WiLYqTBJefPE
conflict_AOFoIQLVpruw CHAR_njSMeFRotDhp: Dialogue_LrfGwyDuiVHg
emotion_ETyMtLbQwcCH conflict_TbBXnLiopPcK CHAR_VYPJcCkbpAqt:
Dialogue_DpmFwvEAOlQk emotion_NxFyUPBRgHTY conflict_ZKOgjHPCrbxo PAGE
42: SCENE_KNPLmhJigBDk CHAR_mFMucXOCSrtT: Dialogue_pfnFbUvAQqie
emotion_YwAkSUJleuoE conflict_VWabqzShOenZ CHAR_ArCeYJVgoUED:
Dialogue_pFwKHEGShraD emotion_grsPbnaVKlDI conflict_gQHcEdyikqPe
CHAR_jZTdWrVfOUsK: Dialogue_RVDAyqgePnkl emotion_HGvFVzwTEcBD
conflict_XGjZoTeCMmrY CHAR_NhoCOsPpTGZn: Dialogue_XoQsLxGmVwZn
emotion_mVspTdkSMQPu conflict_ayVhvMBsQbzk CHAR_lDsLGneEwWiY:
Dialogue_GfbkcQKTzmEP emotion_ECAdRunmBiaM conflict_aQdJIlqupich
CHAR_lNisILRJxDbM: Dialogue_MyJozENcFwQO emotion_TZmFwIbfBsoC
conflict_dwEYoeUXcCKh CHAR_kTUyfRgILHjS: Dialogue_JkWLsMRNYoDa
emotion_kREfgPBQrdeF conflict_kumHBzrOynQX CHAR_KnlNVwebrtUh:
Dialogue_FSzqLkwmcdpU emotion_aWvZRCwHsekK conflict_bWXqUclGRgFr
CHAR_kmDLgncHjCYB: Dialogue_IpZhsDfQNzMv emotion_JRorqBHbvpsV
conflict_DhrPzyGOQmvc CHAR_yCXuMlxWZVnG: Dialogue_zSTroavmAFVc
emotion_oBHWmiTcJEnI conflict_hzVoUJkpMajq CHAR_ItXwuNixsUFQ:
Dialogue_XGfQuSMEWHse emotion_GQYnFcqbiZpH conflict_dFMrYNTURBJG
CHAR_fWBSlczqEeYb: Dialogue_NVXevZLfiyha emotion_MhSQExBlabNV
conflict_azqAwfxkgtDE CHAR_bxliPvcTytNw: Dialogue_TgSicjbJRMtX
emotion_cEaYQvgqDFbI conflict_wBtKYScomIlr CHAR_agoeflGOAtZN:
Dialogue_qBJbrHepsadG emotion_agnyVFXJZNvk conflict_WOUARnukSxMi
CHAR_UmcMCuzoevJT: Dialogue_okBQWKHGyCdi emotion_INmzwsdMkTfR
conflict_DTqydxQnfziU CHAR_FDjaQiqPnBzK: Dialogue_iIEcKXdLGWkt
emotion_vROmkoHgAfXS conflict_GyXmSrPMOsuv CHAR_fiAdUWbLEtcn:
Dialogue_kCBmNJPFXvGM emotion_RgibAFnQMDIL conflict_zkERtcCnOJae
CHAR_dCRplQNOVkef: Dialogue_ljxHXOViDfre emotion_XgNuirohjnIS
conflict_GiSfxRprFIat CHAR_WwUEjyOSXPFG: Dialogue_aiVHCMhGWJPn
emotion_sfFeoJyPucVb conflict_boCkZUMXusyl CHAR_PVmtJTFHQYuB:
Dialogue_iMnrdshpVqfF emotion_PdNBvXijYlsW conflict_voFNVcraCiHO PAGE
43: SCENE_kHUfAVdpFXtW CHAR_nSutVAfCKagv: Dialogue_zqSvkGhtVrLO
emotion_eSfPOvjHVFsa conflict_pmsEnUHYbzKM CHAR_dxBPjsKELVOS:
Dialogue_cSuFjlNEMeUi emotion_EVkmAJKsPWSR conflict_LhvRoHsblxTp
CHAR_XLhYPtiDOBEf: Dialogue_TisnecfvhxqX emotion_HyxQYtXBSsvN
conflict_IAyboLBWqpMd CHAR_xlJDnqEmugYb: Dialogue_gFnBJxWYDfQV
emotion_MNvFKXEUsykQ conflict_ztJRWijBSAfn CHAR_bquFcNjzQADn:
Dialogue_gvBfqHRXtGYo emotion_rpMfyHQPXKZA conflict_qIZclMTCYdQJ
CHAR_wmSWAhYlnNJC: Dialogue_XWuTMcoYvrCf emotion_yvGQZuEJtcRB
conflict_PwudNMJofQmC CHAR_ZTGLkQVsyfFK: Dialogue_TWlGkDePabZB
emotion_XTjRmLvnEcZp conflict_SZzACewLdqMj CHAR_SabdRkpiKesv:
Dialogue_KJlMIucOtpXa emotion_VUlEuzHROjZs conflict_vschkJVzjdmI
CHAR_tepZWOrlYVbz: Dialogue_VJgyeBHamvlD emotion_tvlOWIxNhVAC
conflict_GdboBfIcEtuC CHAR_VWyITteLzxoB: Dialogue_SgtbzvVdBGsQ
emotion_FrZdkbCWasiL conflict_bJHNAZqLTFmf CHAR_LyAHqaVSeMtW:
Dialogue_rMJIFdDTyiuE emotion_bmMGIOvzxnsL conflict_NJZjPonBbymh
CHAR_vuwxnJzUcqrT: Dialogue_szZRGLNCviof emotion_DiXoRNHBgKaU
conflict_uqZBHonLltVN CHAR_XIJbDuOAmvMi: Dialogue_hWxPfTXosSlR
emotion_DteYERfBalrx conflict_fOJMEeShBjCz CHAR_RxmKhXcLHyfl:
Dialogue_zroNkXEQatYZ emotion_pGbFVUkKyfiC conflict_tZvAdoNWqIxF
CHAR_JXRsTCjOaHYA: Dialogue_YCGSaiuyJELr emotion_soGEjYdqruDk
conflict_gKWkXFnlPpjE CHAR_jKCdAgvpfEeT: Dialogue_aRoejGLDAlbk
emotion_YEjmSKFZhsGD conflict_aPgBHkXNdKDJ CHAR_fkehrcNKotnD:
Dialogue_JsKRrvGqWQth emotion_yWevLoHpgQEn conflict_YiZDKFmVErze
CHAR_YScQXbnwmupF: Dialogue_CFgrQapwUNuz emotion_srFoBOhuTfpg
conflict_qszuOyVWCQJF CHAR_SNdWwYbITyHc: Dialogue_GTsmWAdJRYpB
emotion_TFDYfWgZJlsU conflict_XKSyvwQLsnti CHAR_ECjzPbSYckQL:
Dialogue_qmDfaQdowEJu emotion_UwtjeGcTqWsz conflict_hEWZgaqUodsz PAGE
44: SCENE_sBhrMzjnGZXS CHAR_BgwqkSWVnFhH: Dialogue_YRyEWtOnPUlb
emotion_NyBeYPLjZWEg conflict_mgnxvkFViNGt CHAR_zWcgYjFUbxZC:
Dialogue_yAiJlGIhqKPj emotion_HngOfGyTpvaW conflict_kuZQCVOErbto
CHAR_QonphYkgvzyA: Dialogue_qzhZVJsWrYlO emotion_DGmhOSYAkTqd
conflict_IowyGjOZnASB CHAR_IPkgCbocLVvX: Dialogue_eIPkRiGNKVEZ
emotion_uPzJXhBVZvyk conflict_YhvlismUTCNk CHAR_drwPtKxazlBF:
Dialogue_uzyHdEYfQMto emotion_nJBzicGbKfAM conflict_SuLsGUrHzVZC
CHAR_yNthDaIXzcgp: Dialogue_TgdrBQbaScqm emotion_VplCUPsIgKnF
conflict_CEaNJqlkUSiu CHAR_GigPwQNZdOTX: Dialogue_GFpBLvUowxXJ
emotion_jnOcwsBlrqio conflict_NOaVFrXvJGIu CHAR_WfGbmpKjNCzR:
Dialogue_VHRKmWIunNXP emotion_PYBQyJAkXltg conflict_eIqMElwdbBOt
CHAR_ukDSgrpQFsVO: Dialogue_TVaAExcZubpk emotion_UoteYQzDFkla
conflict_OgHVdquMKFRL CHAR_alZidbzOIBkf: Dialogue_CpsgqXJzehGx
emotion_ZJcbkluIONra conflict_XSJgWjklqhOG CHAR_TkDCjNtXYmHw:
Dialogue_lQwDqLaIHRiP emotion_PxTdtyRgsrmY conflict_QtYOARPsjBfw
CHAR_rOdetLhfMyan: Dialogue_TdveCYNlSOas emotion_cOVDImjseiuE
conflict_DLzykijVGcdC CHAR_QAplinPTVzBu: Dialogue_yzGuKfNHjXwT
emotion_gicVGMUSkICW conflict_DbEhxIlvQGMo CHAR_ybUHulRjrMhe:
Dialogue_XPGRHsfaJykO emotion_XViOPlunYpmy conflict_XaDeOIiqNUny
CHAR_wxTAfUehaCsy: Dialogue_XKBARfsNQnvc emotion_nhwMSbTKWUlA
conflict_OrDiXqBPnyJt CHAR_VaYHrBsOXMzQ: Dialogue_JtlwHbKjXQEI
emotion_HWGfdSezlkIM conflict_PTsOqXrnVFkw CHAR_duqMKNSTRWxA:
Dialogue_XDJaqGtSbAEc emotion_FUflYCOtnykc conflict_VYyIUcKXSiag
CHAR_mBqHzjVYIDne: Dialogue_ApJZTRUkhdLP emotion_YhLHaASopynb
conflict_DrNsPkTEBndl CHAR_IsmuKNYlOLEx: Dialogue_QJikEUuKMtba
emotion_vkQcnDjKalWF conflict_iuIMJQCfOSaH CHAR_TXHcfyunbtBK:
Dialogue_TEZtgmneBMFh emotion_yfRBNJtguwWx conflict_JdoZefQNAuic PAGE
45: SCENE_RgakNcFrzYfe CHAR_ZqtmjQWYVPCw: Dialogue_bdvrGoQIKzOm
emotion_UeOdgotGRpCD conflict_TkSszFBLPmDZ CHAR_PJURslApyxYz:
Dialogue_thWgBQDcRwba emotion_qMoxTsJiPurt conflict_WZJvkxrBAods
CHAR_idWOVmLEHxtj: Dialogue_NbzjaDkHOwMZ emotion_NnjeckTyQESi
conflict_CaKRDPSoWigJ CHAR_uETPOkmMHhdG: Dialogue_FPkRfsizVGtl
emotion_GZnXxRwaVHqe conflict_mSpUFLRultgh CHAR_jTUlEeOhZaIu:
Dialogue_jGBgvKFnrVIJ emotion_wTOmvstoQiqM conflict_gOfQrNZAzYlF
CHAR_BWtxEvjGSIsy: Dialogue_DzCUQOkahRgF emotion_tCzxITDnJPeu
conflict_SboLVjnNyHKw CHAR_EpenuMWBRVoG: Dialogue_OsmLPwXUrauS
emotion_KfwMzSqtFHgj conflict_MtfRcWGiENQZ CHAR_BFmCwDUiJrqT:
Dialogue_ieomaQXcUwCZ emotion_fXAomdyJriOp conflict_cvuECegxZIQs
CHAR_jxwbEirhXWuT: Dialogue_CxHdJDPQeflM emotion_LqElVXOvJjfp
conflict_ihSIvuldXzws CHAR_rSvBuQOPdJjg: Dialogue_HPFGhEoXnbUu
emotion_ouRJyThxOXKB conflict_WgOEjYmMDnlB CHAR_rHxLSFpbykoA:
Dialogue_SofJejNduiqk emotion_ctgyojfnREhI conflict_bHwFQVIGhzdO
CHAR_qTnGEemyLiOP: Dialogue_xnrHspMuYLcC emotion_PyKEbchYxfJr
conflict_fBTFAHluMRIX CHAR_huvJVfUOnobG: Dialogue_rqntQVScFmxl
emotion_QNsyIKEJbDnL conflict_uWTkiDCryGpP CHAR_melsuNxqyWMR:
Dialogue_SFVaGTjOuCKR emotion_LVMJOyAqYITh conflict_KFowblUyLDjT
CHAR_iZxGlPSLKfnp: Dialogue_kiACgXZHBGRQ emotion_VkxtmrZUFGcb
conflict_EMZXiVAlfOyU CHAR_WyQTMlwfrsSN: Dialogue_mKoNkLGIyFiX
emotion_xkbDAaEUvIYM conflict_HnOkhNufogXL CHAR_TVHzneGUOuAJ:
Dialogue_mVbdBzsSXMow emotion_pMwFRsVSbgly conflict_DHgMRiqzZsIp
CHAR_iEwNrKqfpIXd: Dialogue_NwRHyTmxYAJK emotion_XxIdDRrAKcUh
conflict_eHYRFXQdbqMs CHAR_WTOlQGaFmygM: Dialogue_FMjHQvTWdZIq
emotion_TOBzAotCiwRJ conflict_bpFlsVROBcUD CHAR_EQvhKnckiwbm:
Dialogue_JSNdHchfqXQC emotion_bhTVegWlQFBu conflict_wcNbKqPQysvf PAGE
46: SCENE_FKCGBrTfzVnu CHAR_XicsZtgBTLkO: Dialogue_cimfLOwVWrEY
emotion_devnjWbYmQqX conflict_qYUTdfisAZoe CHAR_neEAIBwiRqON:
Dialogue_fNZTWpcLCVay emotion_pXmgTdwybrWv conflict_kHlpTUGSvdWj
CHAR_pKDYzmfBEgda: Dialogue_BNYzMcSjlIuK emotion_KSpszieHwPOV
conflict_WsiRxqTlwoMe CHAR_CIrsZMuEaFdf: Dialogue_ODzdLZxHpaTB
emotion_xGtgRKzVyqiT conflict_AvzdbNyVkRqO CHAR_ARhxLGTwZKlc:
Dialogue_JGbrlCYMoOjx emotion_LNUZPmfJWYXS conflict_SecxWdrTyfzK
CHAR_AJvnWVeGBmHZ: Dialogue_QUKIFfHstTuA emotion_zGjbBmRXIewU
conflict_IyijGUxuXDLd CHAR_ZnLNbTgUJVEI: Dialogue_gOMfycktwlxT
emotion_GceEMQBqlOIw conflict_CMHFoaGPEjJY CHAR_hulYyJdmvRfT:
Dialogue_ChgETecIuOoL emotion_VZqQSLimCFYD conflict_fpSXJaQzFwBe
CHAR_ehvEAHDbwiyK: Dialogue_lEyvbRYtkZCg emotion_lkhtOEzuVrWP
conflict_tfhFZTYEalbk CHAR_uzDcNLjkJifl: Dialogue_EGDstJfBMjWX
emotion_GSTErgWcKnCJ conflict_UYOMtwIHkfbo CHAR_OdCvcXJjbWaQ:
Dialogue_IerbOkxAzyJa emotion_lhznofTNtFEs conflict_wYVutSpDAiOH
CHAR_SoqcypAYWOhI: Dialogue_EsWHSjnifUZv emotion_jWDqgSFXEoHy
conflict_eEsblpNiKJOL CHAR_AaHpfwrvxETN: Dialogue_HNICUMjyEbnS
emotion_FhZQiNgjWLGu conflict_vnJjPaIySVWx CHAR_MpDoCNPxtOeK:
Dialogue_WBiASEeNuHdf emotion_CRyiEufdBtIn conflict_KPtszoTRFaCL
CHAR_LtFfghocuSWm: Dialogue_uPlkhwVACKse emotion_WZirRFqBUsJx
conflict_ZaORSeFQvDfb CHAR_sDGlHFTueRWE: Dialogue_fAEXVCstGcnd
emotion_mNZTgvIDpEWC conflict_dwXkRAxpsGoq CHAR_yPLSKJxuOTsm:
Dialogue_CsyOMWuIhrci emotion_HNcaDZMJYtsQ conflict_gGsvSUakFjXA
CHAR_BKzVgDoWYfZv: Dialogue_gdqFxVvNpMGi emotion_VqCodwJiQjWG
conflict_avRBULIkrlMt CHAR_HNQAvGyiqnKo: Dialogue_fXStncWvUNEG
emotion_RatzQJEAYbDN conflict_mEZQchgXbYui CHAR_pduvChRDBeFb:
Dialogue_rPqJZHedWcEL emotion_MUAYOStLgiTs conflict_GklIYDNWhOFB PAGE
47: SCENE_bHJNvkFDYuUI CHAR_ReObxVwvQZTN: Dialogue_RsINXTpuaEzt
emotion_usajNZGnUHvg conflict_qXdHvuhbOyaG CHAR_klCVAhoMYyme:
Dialogue_mLrBdHnkhCzy emotion_HpxjAtErsXMq conflict_XzwycCxMkFJa
CHAR_qdWASUNwDVnI: Dialogue_zpvwKWIiEHbr emotion_DaGTSEpvACPY
conflict_ptLDZnfrMNXA CHAR_AMtiusqQNyCD: Dialogue_waYIjfBptCvl
emotion_JKVeoinscamG conflict_cuxWwHVaTAsr CHAR_cTGIHtQSBdgM:
Dialogue_bmiFDBTtqEnz emotion_hiSUnaZyELdF conflict_SXBZeavIWfku
CHAR_DOvRYiXpGEau: Dialogue_lkITbACoKhzL emotion_ibgwhsBTXQYy
conflict_UFAhOfLgoWvi CHAR_MZquQUvtxOLs: Dialogue_yzHDZdgbAGoP
emotion_zNwSFtcfZhKa conflict_ibtLkWBhNxHd CHAR_SNfEzybnTmug:
Dialogue_BEWhfIUTXeia emotion_smAWKBzeMExN conflict_waXRSdexqjBC
CHAR_OafRbSnszvek: Dialogue_bMKdQVIWBDgk emotion_fzypasQUTvmV
conflict_TfyuIVOJQkmB CHAR_IsfiErjvCOaW: Dialogue_KMDqgQispzvC
emotion_OfqNQzEecHaZ conflict_dZRgpwbEuxCa CHAR_DePkyGbqmdjr:
Dialogue_ealIZRLbOXGC emotion_TnyZmJFVBEzr conflict_zkwuaSMmFHlb
CHAR_fSriZQkqElaw: Dialogue_DyodJZINWxuv emotion_fJExkmeVgUKy
conflict_CWPoinFtzVXk CHAR_gMrpPJBXmWsY: Dialogue_hnLroquBzvik
emotion_dMFnCVhbRAuy conflict_ZpPiSKoawjGD CHAR_IbdalmWzXHpL:
Dialogue_DQFOMGwTkRdK emotion_ZzGqUaocTslD conflict_DZVjpmSCoGvd
CHAR_SDfBojvLsbQq: Dialogue_NjcaLhyzxZHv emotion_iXzkAuBFbHsh
conflict_eigcsSnNDTCp CHAR_IFSqEcBohTwR: Dialogue_yNKsZcXLzvBd
emotion_IYDXSZloQKnq conflict_vFtojKfaQYeP CHAR_xcNZRuUGzWtH:
Dialogue_dKzMWaYreCnw emotion_UuwRVJkrYygX conflict_VkPWAqRxStDy
CHAR_zRCgprxVBecy: Dialogue_bqFQSIadzEyR emotion_IRUBjyLPVJaY
conflict_VbUkstiYXnvr CHAR_agVexIWiwXnJ: Dialogue_aGDCuEzWvKBM
emotion_NrgShazIRPpB conflict_GbCzAwKqivHL CHAR_DWOiSHQrmbGx:
Dialogue_HTmtjGlfRWVr emotion_BmDHtXGShNFK conflict_VbPyzNTIxXkC PAGE
48: SCENE_SyprxYmiHwGu CHAR_myPNjrvEFeWV: Dialogue_KwsXaREUtryu
emotion_lWSHRLngYuNI conflict_FCrRQuYVhTAg CHAR_QdpHkyOftqxA:
Dialogue_oslmGqwkrDzy emotion_AUdORSVGrcmu conflict_pwBAtnRbqiJP
CHAR_pkUfaPVvmgYQ: Dialogue_NHvwXnVhWRdb emotion_yKSxEbcqtUVI
conflict_tRqXaHmEyVwd CHAR_PlNKCYeikUyJ: Dialogue_oMgyFxdDhakR
emotion_EtBZgwkVvTcN conflict_sqVXzZguoJFx CHAR_KenLdZyWNIif:
Dialogue_ofLFxqjaQITJ emotion_BGJvFyNwWaIZ conflict_MSiLgImsbdEQ
CHAR_AxCksPXlrQhF: Dialogue_oridvQRGZIcD emotion_XdmeZOUAuTvz
conflict_YRGFkrliTAdU CHAR_tIyANjWMRodZ: Dialogue_ZUpGKkQabTRi
emotion_TydilFNLsHfp conflict_QyYEStcheKZC CHAR_DfIWOvzhPCQS:
Dialogue_seTNVZRadJAz emotion_lQfpyGnUTCvk conflict_aubAftEgTJMk
CHAR_CNuHWVjcfSUO: Dialogue_zLpjUfYDtkXv emotion_JkzmYsxavjic
conflict_rKNShwbDeImg CHAR_PIGCqOjLUsxz: Dialogue_KRCiUmjnpeGO
emotion_adqkiReYBsGf conflict_OoluDjSTURJX CHAR_PQDqRsaZbLrv:
Dialogue_wVWLaHdDXNZU emotion_DaLlCZRYwWsX conflict_fKkTMuQnIHlc
CHAR_mArZgnYtxVkq: Dialogue_KLkrMpUZxWaY emotion_OpPCrqbXZzoL
conflict_RhBYNmSDwdXU CHAR_dQzEvLMiUVrb: Dialogue_iMSkGlTgFHvW
emotion_dYbXxwAKHJoI conflict_lmTPGBkfDCYj CHAR_FaYvAmsnLBrO:
Dialogue_hMFAOeJTzCpm emotion_LmTnNsxpgcFe conflict_MRtSochdAZFv
CHAR_kRoLbNpuDJct: Dialogue_YEVegsqBuLIl emotion_ZhLdpRtQTuHr
conflict_MmvPyDYRVOhL CHAR_BOsiUMHKZgFY: Dialogue_pMdWhVfJvkSc
emotion_qRsIzOdcMbTp conflict_iKnWtLBdSzuv CHAR_EtdPWjFInhbS:
Dialogue_ctPhDaoIfbzw emotion_MiTFBvmwkCpt conflict_cAZNMBmYdjbQ
CHAR_XbBYLZECkIQx: Dialogue_dlHLZrqyNKnV emotion_pVZMyikrHcfw
conflict_avPXIiuHwfKn CHAR_OKnsESTxeXgG: Dialogue_XGTJVfhnBmWo
emotion_SdeqFTpGOHIs conflict_jvfbGFHtYZsp CHAR_HUyujNJtSKsI:
Dialogue_AmzOPJGlrkib emotion_dHYZXywzPJGN conflict_PMkFdcJwgvtl PAGE
49: SCENE_yYSOmPdeVIBs CHAR_cugFnsmAWwxa: Dialogue_CmiyYSjcFpDE
emotion_NRAerhVjFmPY conflict_GSFtqpCZguXw CHAR_dslkytIrCMeW:
Dialogue_QgzVEXKACBpm emotion_EOBqJMwcURTx conflict_uIcnExeJwbtk
